품목코드,창고코드,재고수량,중량,총중량(중량×재고수량)
1025424,03,7,10,70
1217110,03,9,12,108
1261110,03,41,12,492
1261110,52,1,12,12
1261110,56,3,12,36
1261110,57,7,12,84
1261110,58,1,12,12
1261110-EA,03,7,1,7
1278110,03,114,12,1368
1278110,52,1,12,12
1278110,56,2,12,24
1278110,57,6,12,72
1278110-EA,03,3,1,3
1344018,03,5,200,1000
1344096,03,41,20,820
1344096,52,2,20,40
1344096,58,1,20,20
1344110,03,27,12,324
1344110-EA,03,5,1,5
139593,03,10,20,200
139737,03,4,200,800
139882,03,10,12,120
139882,52,2,12,24
139882,58,2,12,24
139882-EA,03,5,1,5
139883,03,26,18,468
139883,52,3,18,54
139883,58,2,18,36
140094,03,8,200,1600
140140,03,19,16,304
140252,03,3,16,48
140255,03,34,16,544
140263,03,7,16,112
140383,03,15,20,300
140597,03,75,12,900
140597,52,1,12,12
140597,56,1,12,12
140597,57,3,12,36
140597,58,1,12,12
140597-EA,03,2,1,2
140618,03,26,6,156
141164,03,2,12,24
141281,03,1,16,16
141592,03,52,16,832
141592,56,3,16,48
141592,57,2,16,32
141593,03,12,200,2400
141626-EA,03,11,1,11
141741,03,11,20,220
141874,03,1,20,20
142039-EA,03,11,1,11
142226,03,3,20,60
142957-EA,03,1,0,0
143196,03,3,200,600
143201,03,17,200,3400
143202,03,53,200,10600
143206,03,-38,200,-7600
143206,58,1,200,200
143207,03,146,12,1752
143207,52,6,12,72
143207,56,12,12,144
143207,57,4,12,48
143207,58,6,12,72
143207-EA,03,10,1,10
143209,03,126,12,1512
143209,52,1,12,12
143209,56,2,12,24
143209,57,-2,12,-24
143209,58,4,12,48
143209-EA,03,5,1,5
143210,03,119,12,1428
143210,52,4,12,48
143210,56,1,12,12
143210,57,2,12,24
143210,58,2,12,24
143210-EA,03,4,1,4
143211,03,16,12,192
143212,03,140,12,1680
143212,57,-7,12,-84
143212,58,1,12,12
143212-ea,03,-4,0,0
143219,03,113,16,1808
143219,52,4,16,64
143219,58,4,16,64
143221,03,244,16,3904
143221,52,7,16,112
143221,56,2,16,32
143221,57,2,16,32
143221,58,6,16,96
143227,03,18,16,288
143228,03,62,20,1240
143230,03,130,16,2080
143230-ea,03,3,0,0
143231,03,212,20,4240
143232,03,25,200,5000
143233,03,72,16,1152
143234,03,169,20,3380
143235,03,45,200,9000
143236,03,27,16,432
143237,03,164,20,3280
